repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status,api_status,code_review_score,has_code_of_conduct,has_contributing,has_issue_template,has_license,has_pull_request_template,has_readme,health_percentage,maintained_score,overall_score,median_issue_response_days,median_pr_review_days,total_commits,unique_contributors,forks_count,network_count,stars_count,status,watchers_count
eric-mitchell/direct-preference-optimization,eric-mitchell,direct-preference-optimization,232,Python,2024-08-11T00:24:06Z,False,sustainable,success,,False,False,False,True,False,True,42,,,18.666666666666668,,,,233,233,2820,success,17
taojy123/KeymouseGo,taojy123,KeymouseGo,271,Python,2025-10-11T08:18:50Z,False,sustainable,success,1.0,False,False,False,True,False,True,42,1.0,4.2,1.125,,3.0,1.0,1274,1274,9462,success,75
m-bain/whisperX,m-bain,whisperX,578,Python,2025-10-21T15:13:50Z,False,sustainable,success,,False,False,False,True,False,True,42,,,4.25,37.5,37.0,2.0,2065,2065,19328,success,155
stanfordnlp/dspy,stanfordnlp,dspy,282,Python,2025-12-23T05:01:39Z,False,sustainable,success,,False,True,False,True,False,True,62,,,0.5,0.75,28536.0,25.0,2502,2502,31067,success,183
tgbot-collection/YYeTsBot,tgbot-collection,YYeTsBot,361,Python,2025-12-11T08:04:35Z,False,sustainable,success,0.0,False,False,False,True,False,True,37,0.0,3.2,0.125,,2302.0,2.0,1870,1870,15861,success,179
pathwaycom/pathway,pathwaycom,pathway,443,Python,2025-12-26T06:06:26Z,False,sustainable,success,,True,True,False,True,True,True,87,,,0.5416666666666666,0.0,889.0,5.0,1482,1482,51186,success,93
lm-sys/FastChat,lm-sys,FastChat,978,Python,2025-06-02T15:22:03Z,False,sustainable,success,5.0,False,False,False,True,True,True,50,0.0,4.3,0.5416666666666666,1.4583333333333333,4603.0,11.0,4779,4779,39332,success,354
python-telegram-bot/python-telegram-bot,python-telegram-bot,python-telegram-bot,247,Python,2025-12-21T05:06:50Z,False,sustainable,success,0.0,False,True,False,True,True,True,62,10.0,6.0,0.0416666666666666,0.4583333333333333,45602.0,6.0,5946,5946,28567,success,601
abi/screenshot-to-code,abi,screenshot-to-code,7641,Python,2025-10-21T18:42:48Z,False,sustainable,success,,False,False,False,True,False,True,57,,,0.1666666666666666,0.4583333333333333,1006.0,1.0,8811,8811,71300,success,417
logspace-ai/langflow,logspace-ai,langflow,403,Python,2025-12-26T05:34:58Z,False,sustainable,success,,True,True,False,True,False,True,75,,,0.0,0.625,19135.0,12.0,8217,8217,142105,success,455
pypa/pipx,pypa,pipx,304,Python,2025-12-22T18:30:08Z,False,sustainable,success,10.0,True,True,False,True,True,True,75,10.0,5.6,0.1666666666666666,0.2916666666666666,2455.0,9.0,505,505,12375,success,74
microsoft/autogen,microsoft,autogen,1582,Python,2025-10-08T04:58:17Z,False,sustainable,success,6.0,True,True,False,True,True,True,100,6.0,5.6,0.5,0.1666666666666666,218702.0,51.0,8035,8035,52900,success,501
continue-revolution/sd-webui-animatediff,continue-revolution,sd-webui-animatediff,281,Python,2024-09-22T00:17:59Z,False,sustainable,success,,False,False,False,True,False,True,42,,,0.2916666666666666,0.0,368.0,3.0,296,296,3399,success,21
jxxghp/MoviePilot,jxxghp,MoviePilot,289,Python,2025-12-25T11:26:26Z,False,sustainable,success,,False,False,False,True,False,True,42,,,0.4583333333333333,0.0416666666666666,2131.0,3.0,1266,1266,10177,success,43
